"file","type","valid","sqi_min","sqi_p05","sqi_p50","sqi_p95","sqi_max","ci_min","ci_p05","ci_p50","ci_p95","ci_max"
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20251012/lp/20251012_polar_pl_radar05_aggregate_lp_1510.h5","lp",50000,0,0,0.0625,0.4375,0.9375,0,4.25,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250928/lp/20250928_polar_pl_radar05_aggregate_lp_1425.h5","lp",50000,0,0,0.0625,0.75,0.9375,0,4.25,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20251024/lp/20251024_polar_pl_radar05_aggregate_lp_1635.h5","lp",50000,0,0,0.0625,0.6875,0.9375,0,3.75,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20251117/lp/20251117_polar_pl_radar05_aggregate_lp_0555.h5","lp",50000,0,0,0.0625,0.4375,0.9375,0,3.75,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250815/lp/20250815_polar_pl_radar05_aggregate_lp_0055.h5","lp",50000,0,0,0.0625,0.5,0.9375,0,4.25,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20251227/lp/20251227_polar_pl_radar05_aggregate_lp_1355.h5","lp",50000,0,0,0.0625,0.4375,0.9375,0,3.75,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250817/lp/20250817_polar_pl_radar05_aggregate_lp_1010.h5","lp",50000,0,0,0.0625,0.4375,0.9375,0,4.25,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20251209/lp/20251209_polar_pl_radar05_aggregate_lp_0515.h5","lp",50000,0,0,0.1875,0.75,0.9375,0,4.5,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20251103/lp/20251103_polar_pl_radar05_aggregate_lp_1145.h5","lp",50000,0,0,0.0625,0.5,0.9375,0,4,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20251216/lp/20251216_polar_pl_radar05_aggregate_lp_1305.h5","lp",50000,0,0,0.125,0.75,0.9375,0,4,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250911/lp/20250911_polar_pl_radar05_aggregate_lp_1225.h5","lp",50000,0,0,0.125,0.6875,0.9375,0,4.25,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250806/lp/20250806_polar_pl_radar05_aggregate_lp_1930.h5","lp",50000,0,0,0.0625,0.5,0.9375,0,4,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250912/lp/20250912_polar_pl_radar05_aggregate_lp_1725.h5","lp",50000,0,0,0.0625,0.6875,0.9375,0,4,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20251206/lp/20251206_polar_pl_radar05_aggregate_lp_2240.h5","lp",50000,0,0,0.0625,0.625,0.9375,0,3.5,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250930/lp/20250930_polar_pl_radar05_aggregate_lp_1635.h5","lp",50000,0,0,0.0625,0.4375,0.9375,0,4,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250926/lp/20250926_polar_pl_radar05_aggregate_lp_0905.h5","lp",50000,0,0,0.0625,0.375,0.9375,0,3.75,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20251114/lp/20251114_polar_pl_radar05_aggregate_lp_0800.h5","lp",50000,0,0,0.125,0.8125,0.9375,0,4,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250109/lp/20250109_polar_pl_radar05_aggregate_lp_1530.h5","lp",50000,0,0,0.0625,0.5,0.9375,0,3.25,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250122/lp/20250122_polar_pl_radar05_aggregate_lp_1735.h5","lp",50000,0,0,0.0625,0.5,0.9375,0,3,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250730/lp/20250730_polar_pl_radar05_aggregate_lp_1940.h5","lp",50000,0,0,0.0625,0.4375,0.9375,0,4,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20251118/sp/20251118_polar_pl_radar05_aggregate_sp_0030.h5","sp",50000,0,0,0,0.625,0.9375,0,3.5,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250324/sp/20250324_polar_pl_radar05_aggregate_sp_1710.h5","sp",50000,0,0,0,0.6875,0.9375,0,3.5,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20251214/sp/20251214_polar_pl_radar05_aggregate_sp_1540.h5","sp",50000,0,0,0,0.5625,0.9375,0,3.5,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20251204/sp/20251204_polar_pl_radar05_aggregate_sp_0330.h5","sp",50000,0,0,0,0.5625,0.9375,0,3.5,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20251120/sp/20251120_polar_pl_radar05_aggregate_sp_1010.h5","sp",50000,0,0,0,0.625,0.9375,0,3.5,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250213/sp/20250213_polar_pl_radar05_aggregate_sp_1850.h5","sp",50000,0,0,0,0.625,0.9375,0,3.25,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20251025/sp/20251025_polar_pl_radar05_aggregate_sp_1600.h5","sp",50000,0,0,0,0.5625,0.9375,0,3.75,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250725/sp/20250725_polar_pl_radar05_aggregate_sp_0530.h5","sp",50000,0,0,0,0.5625,0.9375,0,3.75,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20251019/sp/20251019_polar_pl_radar05_aggregate_sp_1820.h5","sp",50000,0,0,0.0625,0.8125,0.9375,0,5,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250227/sp/20250227_polar_pl_radar05_aggregate_sp_2110.h5","sp",50000,0,0,0,0.625,0.9375,0,3.25,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250830/sp/20250830_polar_pl_radar05_aggregate_sp_1040.h5","sp",50000,0,0,0,0.5,0.9375,0,4,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250407/sp/20250407_polar_pl_radar05_aggregate_sp_1410.h5","sp",50000,0,0,0,0.625,0.9375,0,3.5,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250324/sp/20250324_polar_pl_radar05_aggregate_sp_2340.h5","sp",50000,0,0,0,0.6875,0.9375,0,3.25,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20251109/sp/20251109_polar_pl_radar05_aggregate_sp_1630.h5","sp",50000,0,0,0,0.625,0.9375,0,3.75,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20251030/sp/20251030_polar_pl_radar05_aggregate_sp_0410.h5","sp",50000,0,0,0,0.5,0.9375,0,3.75,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250410/sp/20250410_polar_pl_radar05_aggregate_sp_2230.h5","sp",50000,0,0,0,0.625,0.9375,0,3.25,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250909/sp/20250909_polar_pl_radar05_aggregate_sp_2100.h5","sp",50000,0,0,0,0.5625,0.9375,0,4,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250624/sp/20250624_polar_pl_radar05_aggregate_sp_2110.h5","sp",50000,0,0,0,0.5,0.9375,0,4.25,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250321/sp/20250321_polar_pl_radar05_aggregate_sp_0110.h5","sp",50000,0,0,0,0.625,0.9375,0,3.25,7,7,7
"/home/users/rrniii/woest/ukmo-nimrod/vol2birdinput/single-site/chenies/2025/20250906/sp/20250906_polar_pl_radar05_aggregate_sp_0650.h5","sp",50000,0,0,0,0.625,0.9375,0,3.75,7,7,7
